mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,7,1,6
2,LVR,0,0,0
3,LVR,0,0,0
4,STD,1,0,1
5,LVR,0,0,0
6,LVR,0,0,0
7,ROR,0,0,0
8,ROR,5,1,4
9,ROR,0,0,0
10,LVR,0,0,0
11,LVR,0,0,0
12,AOR,7,7,0
13,AOR,1,0,1
14,AOR,0,0,0
15,AOR,1,0,1
16,ROR,0,0,0
17,ROR,0,0,0
18,ROR,1,0,1
19,LVR,0,0,0
20,LVR,0,0,0
21,LVR,1,1,0
22,LVR,1,1,0
23,AOR,6,6,0
24,AOR,1,1,0
25,AOR,1,0,1
26,AOR,0,0,0
27,STD,1,0,1
28,LVR,0,0,0
29,LVR,0,0,0
30,STD,0,0,0
31,COR,1,0,1
32,COR,1,1,0
33,STD,0,0,0
34,EVR,7,7,0
35,EVR,0,0,0
36,COR,4,0,4
37,COR,2,2,0
38,STD,1,0,1
39,LVR,1,1,0
40,COR,1,0,1
41,COR,0,0,0
42,STD,1,1,0
43,COR,0,0,0
44,COR,6,5,1
45,STD,8,7,1
46,EVR,0,0,0
47,STD,2,2,0
48,EVR,7,6,1
