mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,7,0,7
2,LVR,0,0,0
3,ROR,0,0,0
4,ROR,2,0,2
5,ROR,0,0,0
6,LVR,13,0,13
7,LVR,5,4,1
8,AOR,9,8,1
9,AOR,8,6,2
10,AOR,9,8,1
11,AOR,8,5,3
12,STD,9,8,1
13,STD,8,5,3
14,LVR,0,0,0
15,LVR,11,5,6
16,STD,1,0,1
17,LVR,1,0,1
18,LVR,0,0,0
19,STD,0,0,0
20,STD,1,1,0
21,COR,1,1,0
22,COR,2,2,0
23,EVR,2,2,0
24,EVR,2,2,0
25,ROR,1,1,0
26,ROR,2,2,0
27,ROR,2,2,0
28,AOR,4,4,0
29,AOR,4,4,0
30,AOR,2,2,0
31,AOR,4,4,0
32,LVR,4,4,0
33,LVR,4,4,0
34,AOR,3,3,0
35,AOR,4,4,0
36,AOR,0,0,0
37,AOR,4,4,0
38,AOR,4,4,0
39,AOR,2,2,0
40,AOR,4,4,0
41,AOR,4,4,0
42,AOR,4,4,0
43,AOR,4,4,0
44,AOR,8,4,4
45,AOR,6,6,0
46,EVR,6,6,0
47,LVR,13,0,13
48,LVR,8,4,4
49,AOR,6,6,0
50,AOR,8,4,4
51,AOR,1,1,0
52,AOR,2,0,2
53,EVR,1,0,1
54,ROR,3,2,1
55,ROR,1,1,0
56,ROR,1,1,0
57,LVR,0,0,0
58,LVR,0,0,0
59,ROR,3,0,3
60,ROR,1,1,0
61,ROR,6,0,6
62,ROR,0,0,0
63,ROR,1,1,0
64,ROR,3,0,3
65,LVR,1,1,0
66,LVR,1,1,0
67,AOR,3,0,3
68,AOR,1,1,0
69,AOR,0,0,0
70,AOR,3,0,3
71,ROR,0,0,0
72,ROR,3,0,3
73,ROR,1,1,0
74,EVR,2,2,0
75,COR,2,2,0
76,COR,6,0,6
77,STD,3,2,1
78,ROR,5,2,3
79,ROR,0,0,0
80,ROR,0,0,0
81,LVR,1,1,0
82,LVR,3,3,0
83,STD,3,3,0
84,LVR,3,2,1
85,LVR,5,2,3
86,AOR,5,5,0
87,AOR,6,5,1
88,AOR,5,2,3
89,AOR,5,5,0
90,STD,5,2,3
91,COR,0,0,0
92,COR,5,2,3
93,ROR,1,1,0
94,ROR,2,0,2
95,ROR,1,0,1
96,LVR,0,0,0
97,LVR,1,1,0
98,STD,1,1,0
99,STD,0,0,0
100,LVR,1,1,0
101,STD,1,0,1
