mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,9,1,8
2,LVR,1,1,0
3,LVR,0,0,0
4,LVR,4,0,4
5,COR,0,0,0
6,COR,4,0,4
7,LVR,4,0,4
8,ROR,0,0,0
9,ROR,4,0,4
10,ROR,0,0,0
11,COR,0,0,0
12,COR,2,2,0
13,LVR,1,1,0
14,STD,0,0,0
15,STD,2,2,0
16,STD,2,2,0
17,EVR,0,0,0
18,LVR,2,2,0
19,LVR,2,2,0
20,STD,3,0,3
21,STD,4,0,4
22,STD,0,0,0
23,LVR,4,0,4
24,LVR,0,0,0
25,STD,0,0,0
26,STD,4,0,4
27,LVR,1,1,0
28,STD,0,0,0
29,LVR,0,0,0
30,LVR,1,1,0
31,LVR,0,0,0
32,LVR,0,0,0
33,LVR,0,0,0
34,LVR,0,0,0
35,LVR,0,0,0
36,LVR,1,1,0
37,LVR,2,1,1
38,LVR,0,0,0
39,AOR,0,0,0
40,AOR,0,0,0
41,AOR,1,1,0
42,AOR,4,0,4
43,STD,1,1,0
44,AOR,4,0,4
45,AOR,0,0,0
46,AOR,0,0,0
47,AOR,0,0,0
48,LVR,0,0,0
49,LVR,0,0,0
50,AOR,0,0,0
51,AOR,0,0,0
52,AOR,0,0,0
53,AOR,0,0,0
54,LVR,0,0,0
55,LVR,2,1,1
56,ROR,0,0,0
57,ROR,1,1,0
58,ROR,1,1,0
59,AOR,1,1,0
60,AOR,1,1,0
61,AOR,1,1,0
62,AOR,1,1,0
63,LVR,1,1,0
64,LVR,1,1,0
65,AOR,1,1,0
66,AOR,2,1,1
67,AOR,0,0,0
68,AOR,6,3,3
69,LVR,3,0,3
70,LVR,1,1,0
71,ROR,0,0,0
72,ROR,0,0,0
73,ROR,0,0,0
74,AOR,0,0,0
75,AOR,0,0,0
76,AOR,0,0,0
77,AOR,0,0,0
78,LVR,0,0,0
79,LVR,6,0,6
80,AOR,1,0,1
81,AOR,0,0,0
82,AOR,0,0,0
83,AOR,3,0,3
84,ROR,3,0,3
85,ROR,3,0,3
86,ROR,3,0,3
87,LVR,3,0,3
88,EVR,3,0,3
89,LVR,3,0,3
90,COR,0,0,0
91,COR,6,0,6
92,STD,4,0,4
93,LVR,3,2,1
94,LVR,3,0,3
95,SOR,3,0,3
96,SOR,3,0,3
97,LVR,3,0,3
98,LVR,3,0,3
99,AOR,3,0,3
100,AOR,3,0,3
101,AOR,0,0,0
102,AOR,4,0,4
103,LVR,4,0,4
104,LVR,7,7,0
105,LVR,6,6,0
106,LVR,0,0,0
107,STD,7,1,6
108,STD,5,0,5
109,LVR,5,0,5
110,LVR,0,0,0
111,AOR,0,0,0
112,AOR,3,3,0
113,AOR,0,0,0
114,AOR,3,0,3
115,STD,0,0,0
116,STD,11,0,11
117,EVR,0,0,0
118,LVR,1,0,1
119,LVR,0,0,0
120,ROR,0,0,0
121,ROR,0,0,0
122,ROR,0,0,0
123,LVR,11,0,11
124,LVR,3,3,0
125,AOR,0,0,0
126,AOR,0,0,0
127,AOR,11,0,11
128,AOR,11,0,11
129,LVR,11,0,11
130,LVR,11,0,11
131,SOR,11,0,11
132,SOR,11,0,11
133,ROR,11,0,11
134,ROR,0,0,0
135,ROR,5,0,5
136,LVR,11,0,11
137,COR,0,0,0
138,COR,0,0,0
139,STD,11,0,11
140,LVR,0,0,0
141,LVR,0,0,0
142,AOR,0,0,0
143,AOR,0,0,0
144,AOR,0,0,0
145,AOR,0,0,0
146,LVR,1,1,0
147,LVR,0,0,0
148,SOR,0,0,0
149,SOR,0,0,0
150,LVR,0,0,0
151,LVR,0,0,0
152,AOR,0,0,0
153,AOR,0,0,0
154,AOR,0,0,0
155,AOR,0,0,0
156,LVR,0,0,0
157,LVR,0,0,0
158,SOR,0,0,0
159,SOR,0,0,0
160,STD,0,0,0
161,STD,0,0,0
162,LVR,0,0,0
163,LVR,0,0,0
164,AOR,0,0,0
165,AOR,0,0,0
166,AOR,0,0,0
167,AOR,0,0,0
168,LVR,0,0,0
169,LVR,0,0,0
170,SOR,0,0,0
171,SOR,0,0,0
172,STD,0,0,0
173,LVR,11,0,11
174,LVR,0,0,0
175,AOR,11,0,11
176,AOR,0,0,0
177,AOR,0,0,0
178,AOR,0,0,0
179,STD,0,0,0
180,STD,0,0,0
181,LVR,0,0,0
182,LVR,0,0,0
183,LVR,0,0,0
184,LVR,0,0,0
185,AOR,0,0,0
186,AOR,0,0,0
187,AOR,0,0,0
188,AOR,0,0,0
189,STD,0,0,0
190,STD,0,0,0
191,STD,0,0,0
192,LVR,0,0,0
193,LVR,0,0,0
194,LVR,0,0,0
195,STD,4,0,4
196,EVR,5,2,3
197,STD,5,2,3
198,LVR,9,1,8
199,LVR,3,0,3
200,STD,11,1,10
201,LVR,2,0,2
202,LVR,0,0,0
203,LVR,0,0,0
204,LVR,1,1,0
205,LVR,1,1,0
206,LVR,0,0,0
207,LVR,0,0,0
208,LVR,1,1,0
209,AOR,0,0,0
210,AOR,1,1,0
211,AOR,1,1,0
212,AOR,0,0,0
213,LVR,2,2,0
214,LVR,3,3,0
215,AOR,2,2,0
216,AOR,3,0,3
217,AOR,1,0,1
218,AOR,3,0,3
219,LVR,1,0,1
220,LVR,1,0,1
221,ROR,3,0,3
222,ROR,1,0,1
223,ROR,3,3,0
224,AOR,8,0,8
225,AOR,3,3,0
226,AOR,1,1,0
227,AOR,1,1,0
228,LVR,0,0,0
229,LVR,5,0,5
230,AOR,4,0,4
231,AOR,4,0,4
232,AOR,5,0,5
233,AOR,4,0,4
234,LVR,4,0,4
235,LVR,1,0,1
236,ROR,4,0,4
237,ROR,0,0,0
238,ROR,0,0,0
239,AOR,1,0,1
240,AOR,0,0,0
241,AOR,0,0,0
242,AOR,0,0,0
243,LVR,4,0,4
244,LVR,0,0,0
245,AOR,4,0,4
246,AOR,2,2,0
247,AOR,4,0,4
248,AOR,1,0,1
249,ROR,4,0,4
250,ROR,4,0,4
251,ROR,5,0,5
252,LVR,4,0,4
253,EVR,4,0,4
254,LVR,4,0,4
255,COR,0,0,0
256,COR,0,0,0
257,STD,4,0,4
258,LVR,0,0,0
259,LVR,0,0,0
260,SOR,0,0,0
261,SOR,0,0,0
262,LVR,4,0,4
263,LVR,0,0,0
264,AOR,4,0,4
265,AOR,4,0,4
266,AOR,0,0,0
267,AOR,4,0,4
268,LVR,4,0,4
269,LVR,4,0,4
270,LVR,5,0,5
271,LVR,4,0,4
272,STD,4,0,4
273,STD,4,0,4
274,STD,0,0,0
275,LVR,0,0,0
276,LVR,4,0,4
277,STD,0,0,0
278,STD,0,0,0
279,EVR,0,0,0
280,LVR,0,0,0
281,LVR,1,0,1
282,COR,4,0,4
283,COR,5,0,5
284,LVR,0,0,0
285,LVR,5,0,5
286,ROR,1,0,1
287,ROR,5,0,5
288,ROR,6,0,6
289,STD,0,0,0
290,STD,3,0,3
291,STD,0,0,0
292,STD,4,0,4
293,EVR,0,0,0
294,LVR,0,0,0
295,LVR,0,0,0
296,AOR,5,0,5
297,AOR,0,0,0
298,AOR,0,0,0
299,AOR,5,0,5
300,STD,0,0,0
301,LVR,4,0,4
302,STD,5,0,5
303,EVR,5,0,5
304,EVR,3,0,3
305,LVR,5,0,5
306,LVR,3,0,3
307,AOR,0,0,0
308,AOR,1,1,0
309,AOR,1,0,1
310,AOR,1,1,0
311,LVR,1,1,0
312,LVR,4,0,4
313,AOR,1,0,1
314,AOR,1,1,0
315,AOR,1,1,0
316,AOR,4,1,3
317,LVR,4,0,4
318,LVR,0,0,0
319,ROR,4,0,4
320,ROR,0,0,0
321,ROR,4,0,4
322,LVR,1,1,0
323,LVR,4,0,4
324,AOR,0,0,0
325,AOR,0,0,0
326,AOR,0,0,0
327,AOR,0,0,0
328,LVR,0,0,0
329,LVR,0,0,0
330,AOR,0,0,0
331,AOR,0,0,0
332,AOR,1,0,1
333,AOR,0,0,0
334,LVR,0,0,0
335,LVR,4,0,4
336,ROR,1,1,0
337,ROR,0,0,0
338,ROR,1,1,0
339,LVR,4,0,4
340,LVR,0,0,0
341,AOR,4,0,4
342,AOR,0,0,0
343,AOR,0,0,0
344,AOR,0,0,0
345,LVR,0,0,0
346,LVR,4,0,4
347,AOR,0,0,0
348,AOR,0,0,0
349,AOR,0,0,0
350,AOR,0,0,0
351,ROR,0,0,0
352,ROR,0,0,0
353,ROR,0,0,0
354,LVR,0,0,0
355,EVR,0,0,0
356,LVR,0,0,0
357,COR,4,0,4
358,COR,0,0,0
359,STD,0,0,0
360,LVR,0,0,0
361,LVR,0,0,0
362,SOR,0,0,0
363,SOR,0,0,0
364,LVR,0,0,0
365,LVR,0,0,0
366,AOR,0,0,0
367,AOR,0,0,0
368,AOR,4,0,4
369,AOR,0,0,0
370,LVR,0,0,0
371,LVR,0,0,0
372,LVR,0,0,0
373,LVR,0,0,0
374,STD,0,0,0
375,STD,0,0,0
376,LVR,0,0,0
377,LVR,0,0,0
378,AOR,0,0,0
379,AOR,8,0,8
380,AOR,0,0,0
381,AOR,0,0,0
382,STD,0,0,0
383,STD,0,0,0
384,EVR,0,0,0
385,LVR,0,0,0
386,LVR,0,0,0
387,ROR,0,0,0
388,ROR,1,0,1
389,ROR,0,0,0
390,LVR,4,0,4
391,LVR,0,0,0
392,AOR,0,0,0
393,AOR,1,1,0
394,AOR,0,0,0
395,AOR,0,0,0
396,LVR,2,2,0
397,LVR,0,0,0
398,SOR,0,0,0
399,SOR,0,0,0
400,ROR,1,1,0
401,ROR,4,0,4
402,ROR,1,1,0
403,LVR,0,0,0
404,COR,0,0,0
405,COR,0,0,0
406,STD,0,0,0
407,LVR,0,0,0
408,LVR,0,0,0
409,AOR,0,0,0
410,AOR,1,0,1
411,AOR,1,1,0
412,AOR,8,0,8
413,LVR,1,0,1
414,LVR,0,0,0
415,SOR,0,0,0
416,SOR,0,0,0
417,LVR,3,0,3
418,LVR,1,1,0
419,AOR,3,0,3
420,AOR,1,1,0
421,AOR,0,0,0
422,AOR,1,1,0
423,LVR,4,0,4
424,LVR,0,0,0
425,SOR,1,0,1
426,SOR,1,1,0
427,STD,1,1,0
428,STD,2,0,2
429,LVR,1,1,0
430,LVR,2,2,0
431,AOR,3,3,0
432,AOR,0,0,0
433,AOR,7,0,7
434,AOR,4,0,4
435,LVR,0,0,0
436,LVR,0,0,0
437,SOR,0,0,0
438,SOR,0,0,0
439,STD,0,0,0
440,LVR,0,0,0
441,LVR,0,0,0
442,AOR,0,0,0
443,AOR,0,0,0
444,AOR,0,0,0
445,AOR,0,0,0
446,STD,4,0,4
447,STD,0,0,0
448,STD,3,0,3
449,LVR,0,0,0
450,LVR,0,0,0
451,STD,3,0,3
452,STD,0,0,0
453,LVR,0,0,0
454,LVR,0,0,0
455,COR,5,0,5
456,COR,0,0,0
457,LVR,4,0,4
458,LVR,0,0,0
459,LVR,0,0,0
460,LVR,7,0,7
461,STD,1,1,0
462,STD,0,0,0
463,LVR,0,0,0
464,LVR,8,0,8
465,STD,0,0,0
466,STD,0,0,0
467,LVR,0,0,0
468,LVR,4,0,4
469,STD,0,0,0
470,STD,0,0,0
471,LVR,0,0,0
472,LVR,0,0,0
473,LVR,0,0,0
474,LVR,0,0,0
475,LVR,0,0,0
476,LVR,0,0,0
477,ROR,0,0,0
478,ROR,5,0,5
479,ROR,4,0,4
480,LVR,1,1,0
481,LVR,3,0,3
482,STD,0,0,0
483,LVR,0,0,0
484,LVR,0,0,0
485,STD,0,0,0
486,STD,0,0,0
487,STD,0,0,0
488,STD,0,0,0
489,EVR,0,0,0
