mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,3,0,3
2,STD,0,0,0
3,STD,2,0,2
4,STD,0,0,0
5,ROR,0,0,0
6,EVR,0,0,0
7,STD,2,0,2
8,EVR,0,0,0
9,ROR,1,1,0
10,ROR,0,0,0
11,ROR,2,0,2
12,COR,0,0,0
13,COR,0,0,0
14,COR,1,1,0
15,COR,0,0,0
16,COR,0,0,0
17,COR,0,0,0
18,COR,0,0,0
19,COR,0,0,0
20,STD,0,0,0
21,STD,0,0,0
22,STD,0,0,0
23,LVR,0,0,0
24,ROR,0,0,0
25,STD,0,0,0
26,STD,0,0,0
27,STD,0,0,0
28,ROR,0,0,0
29,ROR,0,0,0
30,ROR,2,0,2
31,ROR,0,0,0
32,STD,1,0,1
33,STD,0,0,0
34,ROR,1,0,1
35,STD,0,0,0
