mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,10,0,10
2,LVR,6,4,2
3,LVR,6,6,0
4,STD,0,0,0
5,LVR,2,0,2
6,LVR,3,0,3
7,STD,0,0,0
8,LVR,3,0,3
9,LVR,0,0,0
10,AOR,0,0,0
11,AOR,3,0,3
12,AOR,3,0,3
13,AOR,3,0,3
14,STD,0,0,0
15,LVR,5,5,0
16,LVR,3,3,0
17,ROR,0,0,0
18,ROR,2,2,0
19,ROR,4,4,0
20,ROR,5,2,3
21,ROR,0,0,0
22,ROR,2,2,0
23,LVR,1,1,0
24,LVR,1,1,0
25,STD,0,0,0
26,LVR,0,0,0
27,LVR,0,0,0
28,STD,0,0,0
29,LVR,0,0,0
30,LVR,0,0,0
31,AOR,0,0,0
32,AOR,0,0,0
33,AOR,0,0,0
34,AOR,0,0,0
35,STD,0,0,0
36,LVR,1,0,1
37,LVR,1,0,1
38,STD,0,0,0
39,LVR,0,0,0
40,COR,0,0,0
41,COR,0,0,0
42,STD,0,0,0
43,EVR,0,0,0
44,COR,1,1,0
45,COR,0,0,0
46,STD,1,1,0
47,STD,0,0,0
48,EVR,0,0,0
49,STD,0,0,0
50,ROR,0,0,0
51,ROR,0,0,0
52,ROR,0,0,0
53,LVR,0,0,0
54,LVR,0,0,0
55,STD,0,0,0
56,EVR,0,0,0
57,COR,0,0,0
58,COR,3,0,3
59,ROR,0,0,0
60,ROR,0,0,0
61,ROR,0,0,0
62,LVR,2,0,2
63,LVR,3,0,3
64,STD,3,0,3
65,STD,0,0,0
66,STD,3,3,0
67,STD,0,0,0
