mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,43,14,29
2,LVR,0,0,0
3,LVR,0,0,0
4,LVR,2,0,2
5,COR,0,0,0
6,COR,2,0,2
7,LVR,2,0,2
8,ROR,0,0,0
9,ROR,2,0,2
10,ROR,0,0,0
11,COR,0,0,0
12,COR,0,0,0
13,LVR,0,0,0
14,STD,0,0,0
15,STD,0,0,0
16,STD,0,0,0
17,EVR,0,0,0
18,LVR,0,0,0
19,LVR,0,0,0
20,STD,2,0,2
21,STD,2,0,2
22,STD,0,0,0
23,LVR,2,0,2
24,LVR,0,0,0
25,STD,0,0,0
26,STD,2,0,2
27,LVR,0,0,0
28,STD,0,0,0
29,LVR,0,0,0
30,LVR,0,0,0
31,LVR,0,0,0
32,LVR,0,0,0
33,LVR,0,0,0
34,LVR,0,0,0
35,LVR,0,0,0
36,LVR,0,0,0
37,LVR,2,0,2
38,LVR,0,0,0
39,AOR,0,0,0
40,AOR,0,0,0
41,AOR,0,0,0
42,AOR,2,0,2
43,STD,0,0,0
44,AOR,2,0,2
45,AOR,0,0,0
46,AOR,0,0,0
47,AOR,0,0,0
48,LVR,0,0,0
49,LVR,0,0,0
50,AOR,0,0,0
51,AOR,0,0,0
52,AOR,0,0,0
53,AOR,0,0,0
54,LVR,0,0,0
55,LVR,2,0,2
56,ROR,0,0,0
57,ROR,0,0,0
58,ROR,0,0,0
59,AOR,0,0,0
60,AOR,0,0,0
61,AOR,0,0,0
62,AOR,0,0,0
63,LVR,0,0,0
64,LVR,0,0,0
65,AOR,0,0,0
66,AOR,2,0,2
67,AOR,0,0,0
68,AOR,0,0,0
69,LVR,0,0,0
70,LVR,0,0,0
71,ROR,0,0,0
72,ROR,0,0,0
73,ROR,0,0,0
74,AOR,0,0,0
75,AOR,0,0,0
76,AOR,0,0,0
77,AOR,0,0,0
78,LVR,0,0,0
79,LVR,2,0,2
80,AOR,2,0,2
81,AOR,0,0,0
82,AOR,0,0,0
83,AOR,0,0,0
84,ROR,2,0,2
85,ROR,0,0,0
86,ROR,0,0,0
87,LVR,2,0,2
88,EVR,0,0,0
89,LVR,0,0,0
90,COR,0,0,0
91,COR,0,0,0
92,STD,0,0,0
93,LVR,0,0,0
94,LVR,0,0,0
95,SOR,0,0,0
96,SOR,0,0,0
97,LVR,0,0,0
98,LVR,0,0,0
99,AOR,0,0,0
100,AOR,0,0,0
101,AOR,0,0,0
102,AOR,0,0,0
103,LVR,0,0,0
104,LVR,0,0,0
105,LVR,0,0,0
106,LVR,0,0,0
107,STD,1,0,1
108,STD,40,13,27
109,LVR,40,13,27
110,LVR,2,2,0
111,AOR,0,0,0
112,AOR,0,0,0
113,AOR,0,0,0
114,AOR,7,2,5
115,STD,0,0,0
116,STD,58,0,58
117,EVR,0,0,0
118,LVR,0,0,0
119,LVR,0,0,0
120,ROR,0,0,0
121,ROR,0,0,0
122,ROR,0,0,0
123,LVR,58,0,58
124,LVR,0,0,0
125,AOR,0,0,0
126,AOR,0,0,0
127,AOR,58,0,58
128,AOR,0,0,0
129,LVR,0,0,0
130,LVR,0,0,0
131,SOR,0,0,0
132,SOR,0,0,0
133,ROR,0,0,0
134,ROR,0,0,0
135,ROR,0,0,0
136,LVR,0,0,0
137,COR,0,0,0
138,COR,0,0,0
139,STD,0,0,0
140,LVR,0,0,0
141,LVR,0,0,0
142,AOR,0,0,0
143,AOR,0,0,0
144,AOR,0,0,0
145,AOR,0,0,0
146,LVR,0,0,0
147,LVR,0,0,0
148,SOR,0,0,0
149,SOR,0,0,0
150,LVR,0,0,0
151,LVR,0,0,0
152,AOR,0,0,0
153,AOR,0,0,0
154,AOR,0,0,0
155,AOR,0,0,0
156,LVR,0,0,0
157,LVR,0,0,0
158,SOR,0,0,0
159,SOR,0,0,0
160,STD,0,0,0
161,STD,0,0,0
162,LVR,0,0,0
163,LVR,0,0,0
164,AOR,0,0,0
